Name,Susceptibility,,,,,,,,,Name,Susceptibility
air,0.35,,,,,,,,,air,0.35
spleen,-9.05,,,,,,,,,spleen,-9.05
kidney,-9.05,,,,,,,,,kidney,-9.05
kidney,-9.05,,,,,,,,,organ,-9.05
organ,-9.05,,,,,,,,,liver,-9.05
liver,-9.05,,,,,,,,,gland,-9.05
organ,-9.05,,,,,,,,,lungs,0.4
gland,-9.05,,,,,,,,,esophagus,-9.05
gland,-9.05,,,,,,,,,trachea,0.4
lungs,0.4,,,,,,,,,bone,-9
lungs,0.4,,,,,,,,,extra,-9.04
lungs,0.4,,,,,,,,,SpinalCanal,-9.055
lungs,0.4,,,,,,,,,spinal_cord,-9.055
lungs,0.4,,,,,,,,,fat,-8.92
esophagus,-9.05,,,,,,,,,sc_csf,-9.05
trachea,0.4,,,,,,,,,,
gland,-9.05,,,,,,,,,,
organ,-9.05,,,,,,,,,,
organ,-9.05,,,,,,,,,,
organ,-9.05,,,,,,,,,,
organ,-9.05,,,,,,,,,,
organ,-9.05,,,,,,,,,,
organ,-9.05,,,,,,,,,,
organ,-9.05,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
SpinalCanal,-9.055,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
extra,-9.04,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
bone,-9,,,,,,,,,,
extra,-9.04,,,,,,,,,,
spinal_cord,-9.055,,,,,,,,,,
fat,-8.92,,,,,,,,,,
sc_csf,-9.05,,,,,,,,,,
